Epoch,TrainError,ValidError,TestError
1,56.12981,11.08011,24.7031
2,10.01322,2.59432,12.4624
3,4.45363,1.28173,9.2399
4,2.73564,0.91994,8.2027
5,1.96155,0.65125,7.3555
6,1.43446,0.41346,6.7379
7,1.11977,0.35147,6.2866
8,0.95558,0.33078,6.3579
9,0.80859,0.20679,5.9303
10,0.682210,0.155010,5.6611
11,0.582311,0.165411,5.6136
12,0.511112,0.155012,5.2019
13,0.493813,0.165413,5.4473
14,0.450214,0.134414,4.9802
15,0.359515,0.144715,4.8456
16,0.315816,0.165416,5.1544
17,0.328517,0.113717,5.4553
18,0.283718,0.113718,5.1148
19,0.266419,0.103419,5.1861
20,0.253820,0.134420,5.2494
21,0.219421,0.113721,5.0119
22,0.266422,0.072422,5.0356
23,0.210223,0.103423,5.0673
24,0.180324,0.062024,4.8298
25,0.191825,0.093025,5.1544
26,0.167726,0.093026,4.9089
27,0.161927,0.082727,4.9010
28,0.153928,0.072428,4.7823
29,0.140129,0.082729,4.8219
30,0.122930,0.093030,4.7427
