Epoch,TrainError,ValidError,TestError
1,44.38591,4.46511,13.0008
2,7.29952,1.36432,7.8068
3,3.58203,1.03363,6.9121
4,2.52774,0.53754,5.8591
5,1.92135,0.37215,5.7007
6,1.60676,0.27916,4.8931
7,1.18297,0.31017,5.4236
8,0.91998,0.19648,4.7743
9,0.82809,0.19649,4.5606
10,0.722410,0.175710,4.9010
11,0.648911,0.175711,4.6160
12,0.651212,0.155012,4.6635
13,0.524813,0.165413,4.3072
14,0.467414,0.124014,4.1884
15,0.485815,0.124015,4.3705
16,0.474316,0.103416,4.0459
17,0.406517,0.082717,3.8480
18,0.406518,0.082718,3.7926
19,0.358319,0.082719,3.7530
20,0.342220,0.051720,3.8084
21,0.304321,0.051721,3.8163
22,0.266422,0.072422,3.6025
23,0.264123,0.041323,3.7292
24,0.469724,0.113724,3.7451
25,0.320425,0.093025,3.5392
26,0.267626,0.124026,3.8638
27,0.263027,0.103427,3.6421
28,0.225128,0.082728,3.6738
29,0.226229,0.082729,3.5946
30,0.207930,0.062030,3.3175
31,0.197531,0.062031,3.3808
32,0.194132,0.072432,3.3254
33,0.176933,0.113733,3.7530
34,0.201034,0.031034,3.4204
35,0.215935,0.072435,3.3729
36,0.158536,0.072436,3.1671
37,0.197537,0.093037,3.2383
38,0.148138,0.082738,3.3175
39,0.183739,0.072439,3.2700
40,0.195240,0.051740,3.1512
41,0.134441,0.072441,3.2621
42,0.139042,0.062042,3.4283
43,0.139043,0.082743,3.2067
44,0.144744,0.041344,3.1116
45,0.111445,0.020745,3.1354
46,0.144746,0.041346,3.4125
47,0.112547,0.062047,3.3096
48,0.111448,0.041348,2.9216
49,0.361849,0.103449,3.4521
50,0.171150,0.051750,3.2462
51,0.165451,0.051751,3.3571
52,0.148152,0.051752,3.2383
53,0.140153,0.020753,3.0562
54,0.170054,0.041354,3.1671
55,0.133255,0.082755,3.2304
56,0.152756,0.062056,3.1196
57,0.108057,0.062057,3.1116
58,0.096558,0.051758,3.1512
59,0.143659,0.062059,3.0245
60,0.104560,0.062060,3.4046
61,0.117161,0.062061,3.0800
62,0.097662,0.041362,2.9850
63,0.098863,0.051763,3.0008
64,0.155064,0.020764,3.1591
65,0.125265,0.051765,3.2937
66,0.096566,0.031066,2.8345
67,0.143667,0.020767,2.9612
68,0.393968,0.020768,3.1433
69,0.221669,0.031069,3.1512
70,0.118370,0.072470,3.1671
71,0.121771,0.062071,3.1275
72,0.130972,0.051772,3.0879
73,0.133273,0.051773,3.3175
74,0.114874,0.062074,2.8741
75,0.112575,0.031075,3.0325
76,0.090776,0.051776,2.9216
77,0.108077,0.031077,3.3017
78,0.097678,0.041378,3.0879
79,0.106879,0.020779,3.0800
80,0.073580,0.051780,2.9058
81,0.081581,0.051781,3.0800
82,0.104582,0.051782,3.1433
83,0.085083,0.051783,3.3729
84,0.086184,0.082784,3.0483
85,0.071285,0.051785,2.8820
86,0.068986,0.051786,2.9850
87,0.067887,0.082787,2.7870
88,0.064388,0.051788,3.0721
89,0.060989,0.072489,2.9375
90,0.058690,0.062090,3.0879
91,0.062091,0.031091,2.9375
92,0.074692,0.041392,2.9850
93,0.047193,0.062093,2.8662
94,0.064394,0.041394,3.0721
95,0.057495,0.062095,3.1037
96,0.051796,0.041396,2.8424
97,0.070197,0.020797,3.1512
98,0.088498,0.051798,3.0958
99,0.062099,0.041399,2.9612
100,0.0769100,0.0413100,3.0800
