Epoch,TrainError,ValidError,TestError
1,39.80251,3.43151,12.5574
2,4.63282,1.05432,7.8939
3,2.13033,0.54783,6.6429
4,1.35974,0.37214,5.9462
5,0.93025,0.35145,5.7561
6,0.79706,0.17576,5.3998
7,0.51687,0.10347,4.9010
8,0.41698,0.11378,4.6081
9,0.40319,0.14479,4.6239
10,0.311210,0.134410,4.6318
11,0.289411,0.103411,4.6635
12,0.259512,0.124012,4.6397
13,0.242313,0.124013,4.5606
14,0.219414,0.093014,4.4181
15,0.202115,0.103415,4.4656
16,0.150416,0.093016,4.3943
17,0.133217,0.082717,4.7664
18,0.159618,0.093018,4.3943
19,0.135519,0.082719,4.3864
20,0.109120,0.093020,4.5210
21,0.114821,0.082721,4.3389
22,0.134422,0.103422,4.3151
23,0.119423,0.051723,4.0380
24,0.101124,0.051724,4.4181
25,0.080425,0.093025,4.3230
26,0.074626,0.072426,4.1647
27,0.082727,0.041327,4.1409
28,0.082728,0.093028,4.1489
29,0.065529,0.072429,4.3864
30,0.064330,0.072430,4.2359
