Epoch,TrainError,ValidError,TestError
1,44.38591,4.46511,13.0008
2,7.29952,1.36432,7.8068
3,3.58203,1.03363,6.9121
4,2.52774,0.53754,5.8591
5,1.92135,0.37215,5.7007
6,1.60676,0.27916,4.8931
7,1.18297,0.31017,5.4236
8,0.91998,0.19648,4.7743
9,0.82809,0.19649,4.5606
10,0.722410,0.175710,4.9010
11,0.648911,0.175711,4.6160
12,0.651212,0.155012,4.6635
13,0.524813,0.165413,4.3072
14,0.467414,0.124014,4.1884
15,0.485815,0.124015,4.3705
16,0.474316,0.103416,4.0459
17,0.406517,0.082717,3.8480
18,0.406518,0.082718,3.7926
19,0.358319,0.082719,3.7530
20,0.342220,0.051720,3.8084
21,0.304321,0.051721,3.8163
22,0.266422,0.072422,3.6025
23,0.264123,0.041323,3.7292
24,0.469724,0.113724,3.7451
25,0.320425,0.093025,3.5392
26,0.267626,0.124026,3.8638
27,0.263027,0.103427,3.6421
28,0.225128,0.082728,3.6738
29,0.226229,0.082729,3.5946
30,0.207930,0.062030,3.3175
