Epoch,TrainError,ValidError,TestError
1,31.18461,4.82691,15.6136
2,3.77152,1.46772,9.9921
3,1.10593,0.64083,9.4537
4,0.53984,0.59954,8.9865
5,0.25385,0.49615,9.1607
6,0.19646,0.45486,9.0103
7,0.08617,0.63057,9.1449
8,0.17118,0.34118,8.0839
9,0.05979,0.21719,8.1394
10,0.048210,0.206710,8.1789
11,0.031011,0.217111,8.4402
12,0.016112,0.144712,8.2660
13,0.000013,0.155013,8.3294
14,0.000014,0.165414,8.2977
15,0.000015,0.165415,8.3215
16,0.000016,0.165416,8.3373
17,0.000017,0.165417,8.3294
18,0.000018,0.155018,8.3215
19,0.000019,0.155019,8.3373
20,0.000020,0.155020,8.3610
21,0.000021,0.155021,8.3690
22,0.000022,0.155022,8.3690
23,0.000023,0.155023,8.3531
24,0.000024,0.155024,8.3531
25,0.000025,0.155025,8.3452
26,0.000026,0.155026,8.3610
27,0.000027,0.155027,8.3610
28,0.000028,0.155028,8.3690
29,0.000029,0.155029,8.3848
30,0.000030,0.155030,8.4006
