Epoch,TrainError,ValidError,TestError
1,10.74021,0.76491,7.0071
2,0.41002,0.34112,5.5740
3,0.11143,0.19643,5.2652
4,0.04364,0.15504,5.0356
5,0.01725,0.15505,4.9723
6,0.00696,0.12406,4.9010
7,0.00237,0.12407,4.7902
8,0.00238,0.11378,4.7506
9,0.00239,0.09309,4.7189
10,0.000010,0.093010,4.6873
11,0.000011,0.093011,4.6635
12,0.000012,0.093012,4.6160
13,0.000013,0.093013,4.5843
14,0.000014,0.093014,4.5527
15,0.000015,0.093015,4.5527
16,0.000016,0.103416,4.5289
17,0.000017,0.103417,4.4972
18,0.000018,0.103418,4.4972
19,0.000019,0.103419,4.4893
20,0.000020,0.103420,4.5051
21,0.000021,0.103421,4.5131
22,0.000022,0.103422,4.5131
23,0.000023,0.103423,4.5210
24,0.000024,0.103424,4.5051
25,0.000025,0.103425,4.5051
26,0.000026,0.103426,4.5051
27,0.000027,0.103427,4.4972
28,0.000028,0.103428,4.4972
29,0.000029,0.103429,4.4814
30,0.000030,0.103430,4.4497
31,0.000031,0.103431,4.4418
32,0.000032,0.103432,4.4339
33,0.000033,0.103433,4.4181
34,0.000034,0.103434,4.4260
35,0.000035,0.103435,4.4181
36,0.000036,0.103436,4.4022
37,0.000037,0.103437,4.3864
38,0.000038,0.103438,4.3864
39,0.000039,0.103439,4.3785
40,0.000040,0.103440,4.3785
41,0.000041,0.103441,4.3785
42,0.000042,0.103442,4.3785
43,0.000043,0.103443,4.3705
44,0.000044,0.103444,4.3626
45,0.000045,0.103445,4.3468
46,0.000046,0.103446,4.3547
47,0.000047,0.103447,4.3626
48,0.000048,0.103448,4.3705
49,0.000049,0.103449,4.3705
50,0.000050,0.103450,4.3705
51,0.000051,0.103451,4.3626
52,0.000052,0.103452,4.3626
53,0.000053,0.103453,4.3626
54,0.000054,0.103454,4.3547
55,0.000055,0.103455,4.3547
56,0.000056,0.103456,4.3468
57,0.000057,0.103457,4.3468
58,0.000058,0.103458,4.3389
59,0.000059,0.103459,4.3468
60,0.000060,0.103460,4.3468
61,0.000061,0.103461,4.3547
62,0.000062,0.103462,4.3547
63,0.000063,0.103463,4.3547
64,0.000064,0.103464,4.3626
65,0.000065,0.103465,4.3626
66,0.000066,0.103466,4.3626
67,0.000067,0.103467,4.3626
68,0.000068,0.103468,4.3547
69,0.000069,0.103469,4.3547
70,0.000070,0.103470,4.3547
71,0.000071,0.103471,4.3468
72,0.000072,0.103472,4.3468
73,0.000073,0.103473,4.3468
74,0.000074,0.103474,4.3468
75,0.000075,0.103475,4.3468
76,0.000076,0.103476,4.3468
77,0.000077,0.103477,4.3468
78,0.000078,0.103478,4.3468
79,0.000079,0.103479,4.3468
80,0.000080,0.103480,4.3389
81,0.000081,0.103481,4.3389
82,0.000082,0.103482,4.3389
83,0.000083,0.103483,4.3389
84,0.000084,0.103484,4.3389
85,0.000085,0.103485,4.3389
86,0.000086,0.103486,4.3389
87,0.000087,0.103487,4.3389
88,0.000088,0.103488,4.3389
89,0.000089,0.103489,4.3389
90,0.000090,0.103490,4.3310
91,0.000091,0.103491,4.3310
92,0.000092,0.103492,4.3310
93,0.000093,0.103493,4.3310
94,0.000094,0.103494,4.3310
95,0.000095,0.103495,4.3310
96,0.000096,0.103496,4.3230
97,0.000097,0.103497,4.3230
98,0.000098,0.103498,4.3072
99,0.000099,0.103499,4.3072
100,0.0000100,0.1034100,4.3072
