Epoch,TrainError,ValidError,TestError
1,75.87001,48.26531,52.9691
2,27.86502,13.95412,19.0182
3,9.71723,5.96943,12.2169
4,4.75234,3.46944,9.0499
5,2.70915,2.44905,7.5772
6,1.67206,1.81126,7.0942
7,1.14777,1.53067,6.7379
8,0.83888,1.32658,6.5321
9,0.66599,1.14809,6.3262
10,0.507310,1.020410,6.2470
11,0.405211,0.969411,6.1441
12,0.345712,0.867312,5.9857
13,0.283413,0.688813,5.8670
14,0.246514,0.612214,5.8195
15,0.209715,0.612215,5.8116
16,0.175716,0.586716,5.7957
17,0.141717,0.586717,5.7482
18,0.119018,0.586718,5.6849
19,0.102019,0.612219,5.6532
20,0.087820,0.612220,5.6136
21,0.073721,0.586721,5.5740
22,0.056722,0.561222,5.5819
23,0.051023,0.561223,5.5424
24,0.045324,0.561224,5.5503
25,0.036825,0.561225,5.5819
26,0.031226,0.535726,5.5819
27,0.028327,0.535727,5.5265
28,0.025528,0.510228,5.5107
29,0.022729,0.459229,5.4949
30,0.022730,0.459230,5.5107
31,0.019831,0.433731,5.5344
32,0.017032,0.433732,5.5186
33,0.017033,0.408233,5.5028
34,0.017034,0.408234,5.4869
35,0.014235,0.408235,5.4949
36,0.014236,0.408236,5.5028
37,0.014237,0.408237,5.5028
38,0.014238,0.408238,5.4949
39,0.014239,0.408239,5.5028
40,0.014240,0.408240,5.4869
41,0.014241,0.408241,5.4711
42,0.011342,0.408242,5.4553
43,0.011343,0.382743,5.4711
44,0.008544,0.382744,5.4553
45,0.008545,0.382745,5.4394
46,0.005746,0.382746,5.4315
47,0.005747,0.382747,5.4236
48,0.005748,0.382748,5.4078
49,0.005749,0.382749,5.4157
50,0.005750,0.382750,5.4078
51,0.002851,0.382751,5.3919
52,0.000052,0.382752,5.3840
53,0.000053,0.382753,5.3682
54,0.000054,0.357154,5.3682
55,0.000055,0.357155,5.3523
56,0.000056,0.357156,5.3365
57,0.000057,0.357157,5.3444
58,0.000058,0.357158,5.3444
59,0.000059,0.357159,5.3444
60,0.000060,0.357160,5.3365
61,0.000061,0.357161,5.3365
62,0.000062,0.357162,5.3286
63,0.000063,0.357163,5.3286
64,0.000064,0.357164,5.3365
65,0.000065,0.357165,5.3286
66,0.000066,0.331666,5.3207
67,0.000067,0.331667,5.3207
68,0.000068,0.331668,5.3207
69,0.000069,0.331669,5.3048
70,0.000070,0.331670,5.2811
71,0.000071,0.331671,5.2890
72,0.000072,0.331672,5.2811
73,0.000073,0.331673,5.2969
74,0.000074,0.331674,5.2969
75,0.000075,0.331675,5.2811
76,0.000076,0.331676,5.2732
77,0.000077,0.331677,5.2732
78,0.000078,0.331678,5.2652
79,0.000079,0.331679,5.2652
80,0.000080,0.331680,5.2652
81,0.000081,0.331681,5.2573
82,0.000082,0.331682,5.2494
83,0.000083,0.331683,5.2494
84,0.000084,0.331684,5.2415
85,0.000085,0.331685,5.2415
86,0.000086,0.331686,5.2415
87,0.000087,0.331687,5.2415
88,0.000088,0.331688,5.2415
89,0.000089,0.331689,5.2257
90,0.000090,0.331690,5.2257
91,0.000091,0.331691,5.2257
92,0.000092,0.331692,5.2257
93,0.000093,0.331693,5.2257
94,0.000094,0.331694,5.2177
95,0.000095,0.331695,5.2177
96,0.000096,0.331696,5.2177
97,0.000097,0.331697,5.2098
98,0.000098,0.331698,5.2098
99,0.000099,0.331699,5.2098
100,0.0000100,0.3316100,5.2098
101,0.0000101,0.3316101,5.2098
102,0.0000102,0.3316102,5.2098
103,0.0000103,0.3316103,5.2019
104,0.0000104,0.3316104,5.1940
105,0.0000105,0.3316105,5.1861
106,0.0000106,0.3316106,5.1781
107,0.0000107,0.3316107,5.1781
108,0.0000108,0.3061108,5.1702
109,0.0000109,0.3061109,5.1702
110,0.0000110,0.3061110,5.1702
111,0.0000111,0.3061111,5.1702
112,0.0000112,0.3061112,5.1623
113,0.0000113,0.3061113,5.1623
114,0.0000114,0.3061114,5.1623
115,0.0000115,0.3061115,5.1623
116,0.0000116,0.3061116,5.1623
117,0.0000117,0.3061117,5.1623
118,0.0000118,0.3061118,5.1623
119,0.0000119,0.3061119,5.1623
120,0.0000120,0.3061120,5.1623
121,0.0000121,0.3061121,5.1623
122,0.0000122,0.3061122,5.1623
123,0.0000123,0.3061123,5.1465
124,0.0000124,0.3061124,5.1465
125,0.0000125,0.2806125,5.1465
126,0.0000126,0.2806126,5.1306
127,0.0000127,0.2806127,5.1386
128,0.0000128,0.2806128,5.1386
129,0.0000129,0.2806129,5.1386
130,0.0000130,0.2806130,5.1306
131,0.0000131,0.2806131,5.1306
132,0.0000132,0.2806132,5.1306
133,0.0000133,0.2806133,5.1306
134,0.0000134,0.2806134,5.1306
135,0.0000135,0.2806135,5.1306
136,0.0000136,0.2806136,5.1227
137,0.0000137,0.2806137,5.1148
138,0.0000138,0.2806138,5.1148
139,0.0000139,0.2806139,5.1148
140,0.0000140,0.2806140,5.1069
141,0.0000141,0.2806141,5.1069
142,0.0000142,0.2806142,5.0990
143,0.0000143,0.2806143,5.0990
144,0.0000144,0.2806144,5.0990
145,0.0000145,0.2806145,5.0911
146,0.0000146,0.2806146,5.0911
147,0.0000147,0.2806147,5.0831
148,0.0000148,0.2806148,5.0831
149,0.0000149,0.2806149,5.0831
150,0.0000150,0.2806150,5.0831
151,0.0000151,0.2806151,5.0831
152,0.0000152,0.2806152,5.0831
153,0.0000153,0.2806153,5.0831
154,0.0000154,0.2806154,5.0831
155,0.0000155,0.2806155,5.0831
156,0.0000156,0.2806156,5.0831
157,0.0000157,0.2806157,5.0831
158,0.0000158,0.2806158,5.0831
159,0.0000159,0.2806159,5.0831
160,0.0000160,0.2806160,5.0831
161,0.0000161,0.2806161,5.0831
162,0.0000162,0.2806162,5.0831
163,0.0000163,0.2806163,5.0831
164,0.0000164,0.2806164,5.0911
165,0.0000165,0.2806165,5.0911
166,0.0000166,0.2806166,5.0911
167,0.0000167,0.2806167,5.0831
168,0.0000168,0.2806168,5.0831
169,0.0000169,0.2806169,5.0752
170,0.0000170,0.2806170,5.0752
171,0.0000171,0.2806171,5.0752
172,0.0000172,0.2806172,5.0752
173,0.0000173,0.2551173,5.0752
174,0.0000174,0.2551174,5.0673
175,0.0000175,0.2551175,5.0673
176,0.0000176,0.2551176,5.0673
177,0.0000177,0.2551177,5.0673
178,0.0000178,0.2551178,5.0673
179,0.0000179,0.2551179,5.0673
180,0.0000180,0.2551180,5.0673
181,0.0000181,0.2551181,5.0673
182,0.0000182,0.2551182,5.0673
183,0.0000183,0.2551183,5.0673
184,0.0000184,0.2551184,5.0673
185,0.0000185,0.2551185,5.0673
186,0.0000186,0.2551186,5.0673
187,0.0000187,0.2551187,5.0673
188,0.0000188,0.2551188,5.0673
189,0.0000189,0.2551189,5.0673
190,0.0000190,0.2551190,5.0673
191,0.0000191,0.2551191,5.0594
192,0.0000192,0.2551192,5.0594
193,0.0000193,0.2551193,5.0594
194,0.0000194,0.2551194,5.0594
195,0.0000195,0.2551195,5.0515
196,0.0000196,0.2551196,5.0594
197,0.0000197,0.2551197,5.0594
198,0.0000198,0.2551198,5.0515
199,0.0000199,0.2551199,5.0515
200,0.0000200,0.2551200,5.0515
