Epoch,TrainError,ValidError,TestError
1,14.99281,0.94061,6.7142
2,0.71662,0.46512,5.7720
3,0.15623,0.16543,5.2969
4,0.04254,0.14474,5.2494
5,0.01615,0.11375,5.0831
6,0.00806,0.12406,4.9327
7,0.00467,0.12407,4.8773
8,0.00348,0.11378,4.8614
9,0.00239,0.11379,4.8060
10,0.002310,0.113710,4.7902
11,0.001111,0.113711,4.7506
12,0.001112,0.113712,4.7348
13,0.001113,0.113713,4.7348
14,0.001114,0.113714,4.7189
15,0.001115,0.113715,4.6873
16,0.001116,0.103416,4.6714
17,0.001117,0.093017,4.6081
18,0.000018,0.093018,4.5922
19,0.000019,0.093019,4.5843
20,0.000020,0.093020,4.5685
21,0.000021,0.093021,4.5527
22,0.000022,0.093022,4.5447
23,0.000023,0.093023,4.5131
24,0.000024,0.093024,4.5131
25,0.000025,0.093025,4.4893
26,0.000026,0.093026,4.4814
27,0.000027,0.093027,4.4576
28,0.000028,0.093028,4.4656
29,0.000029,0.093029,4.4576
30,0.000030,0.093030,4.4576
31,0.000031,0.093031,4.4656
32,0.000032,0.093032,4.4339
33,0.000033,0.093033,4.4339
34,0.000034,0.093034,4.4260
35,0.000035,0.093035,4.4339
36,0.000036,0.093036,4.4181
37,0.000037,0.093037,4.4101
38,0.000038,0.093038,4.4101
39,0.000039,0.093039,4.4022
40,0.000040,0.093040,4.4101
41,0.000041,0.093041,4.4022
42,0.000042,0.093042,4.4022
43,0.000043,0.093043,4.4022
44,0.000044,0.093044,4.3943
45,0.000045,0.093045,4.3626
46,0.000046,0.093046,4.3626
47,0.000047,0.093047,4.3626
48,0.000048,0.082748,4.3626
49,0.000049,0.082749,4.3547
50,0.000050,0.082750,4.3626
51,0.000051,0.082751,4.3547
52,0.000052,0.082752,4.3468
53,0.000053,0.082753,4.3468
54,0.000054,0.082754,4.3389
55,0.000055,0.082755,4.3310
56,0.000056,0.082756,4.3151
57,0.000057,0.082757,4.2993
58,0.000058,0.082758,4.2993
59,0.000059,0.082759,4.3072
60,0.000060,0.082760,4.2993
61,0.000061,0.082761,4.2993
62,0.000062,0.082762,4.2914
63,0.000063,0.082763,4.2914
64,0.000064,0.082764,4.2914
65,0.000065,0.082765,4.2914
66,0.000066,0.082766,4.2914
67,0.000067,0.082767,4.2835
68,0.000068,0.082768,4.2676
69,0.000069,0.082769,4.2597
70,0.000070,0.082770,4.2676
71,0.000071,0.082771,4.2676
72,0.000072,0.082772,4.2597
73,0.000073,0.082773,4.2597
74,0.000074,0.082774,4.2597
75,0.000075,0.082775,4.2676
76,0.000076,0.082776,4.2755
77,0.000077,0.082777,4.2755
78,0.000078,0.082778,4.2676
79,0.000079,0.082779,4.2597
80,0.000080,0.082780,4.2597
81,0.000081,0.082781,4.2597
82,0.000082,0.082782,4.2597
83,0.000083,0.082783,4.2597
84,0.000084,0.082784,4.2676
85,0.000085,0.082785,4.2676
86,0.000086,0.082786,4.2676
87,0.000087,0.082787,4.2597
88,0.000088,0.082788,4.2359
89,0.000089,0.082789,4.2359
90,0.000090,0.082790,4.2359
91,0.000091,0.082791,4.2359
92,0.000092,0.082792,4.2280
93,0.000093,0.082793,4.2122
94,0.000094,0.082794,4.2122
95,0.000095,0.082795,4.2043
96,0.000096,0.082796,4.1964
97,0.000097,0.082797,4.2043
98,0.000098,0.082798,4.2043
99,0.000099,0.082799,4.2043
100,0.0000100,0.0827100,4.1964
