Epoch,TrainError,ValidError,TestError
1,75.26351,37.60201,44.3389
2,25.45342,14.48982,24.1330
3,14.67073,7.37243,16.5558
4,6.65674,7.16844,15.7007
5,4.57665,4.59185,13.1512
6,2.82256,3.23986,11.4885
7,2.08577,3.21437,11.6152
8,1.71458,2.11738,10.6017
9,1.24409,1.88789,10.1821
10,0.844510,1.632710,10.6888
11,0.892711,1.811211,10.5067
12,0.527112,1.785712,10.2771
13,0.331613,1.785713,10.1504
14,0.328714,1.199014,10.3405
15,0.274915,1.428615,10.1425
16,0.396716,1.709216,10.3642
17,0.371217,1.403117,10.9264
18,0.232418,1.352018,9.8733
19,0.206919,1.811219,10.5305
20,0.589420,1.556120,10.5067
21,0.439221,1.377621,9.8100
22,0.116222,0.969422,9.5883
23,0.031223,0.790823,9.4220
24,0.011324,0.816324,9.3428
25,0.002825,0.790825,9.3428
26,0.002826,0.816326,9.2716
27,0.002827,0.816327,9.2795
28,0.000028,0.816328,9.2637
29,0.000029,0.816329,9.2874
30,0.000030,0.841830,9.3032
31,0.000031,0.841831,9.3191
32,0.000032,0.841832,9.2953
33,0.000033,0.841833,9.2874
34,0.000034,0.790834,9.2716
35,0.000035,0.790835,9.2557
36,0.000036,0.816336,9.2637
37,0.000037,0.816337,9.2399
38,0.000038,0.816338,9.2399
39,0.000039,0.867339,9.2320
40,0.000040,0.867340,9.2241
41,0.000041,0.892941,9.2716
42,0.000042,0.892942,9.2795
43,0.000043,0.918443,9.3032
44,0.000044,0.918444,9.3191
45,0.000045,0.943945,9.3032
46,0.000046,0.943946,9.2874
47,0.000047,0.943947,9.2953
48,0.000048,0.943948,9.3032
49,0.000049,0.943949,9.2953
50,0.000050,0.943950,9.2874
51,0.000051,0.943951,9.3191
52,0.000052,0.943952,9.3270
53,0.000053,0.943953,9.3349
54,0.000054,0.943954,9.3428
55,0.000055,0.943955,9.3508
56,0.000056,0.943956,9.3587
57,0.000057,0.943957,9.3508
58,0.000058,0.943958,9.3508
59,0.000059,0.943959,9.3508
60,0.000060,0.943960,9.3587
61,0.000061,0.943961,9.3587
62,0.000062,0.943962,9.3587
63,0.000063,0.943963,9.3666
64,0.000064,0.943964,9.3666
65,0.000065,0.943965,9.3824
66,0.000066,0.918466,9.3903
67,0.000067,0.918467,9.4141
68,0.000068,0.918468,9.4062
69,0.000069,0.918469,9.4458
70,0.000070,0.918470,9.4695
71,0.000071,0.943971,9.4458
72,0.000072,0.918472,9.4537
73,0.000073,0.943973,9.4616
74,0.000074,0.918474,9.4695
75,0.000075,0.918475,9.4695
76,0.000076,0.918476,9.4774
77,0.000077,0.892977,9.4695
78,0.000078,0.918478,9.4616
