Epoch,TrainError,ValidError,TestError
1,72.87281,33.83981,46.7063
2,30.67012,9.63312,21.2510
3,13.59403,4.31013,12.5653
4,8.05974,2.48064,10.0000
5,5.51255,1.96385,8.8124
6,4.22286,1.48846,8.2740
7,3.35117,1.32307,7.4663
8,2.82868,1.08538,6.7379
9,2.40379,0.85799,6.2549
10,2.115410,0.744210,6.1758
11,1.943211,0.599511,6.0333
12,1.703112,0.568512,5.7007
13,1.587113,0.537513,5.6770
14,1.343714,0.465114,5.4315
15,1.257515,0.475515,5.0831
16,1.145016,0.423816,5.1148
17,1.072617,0.444417,4.8139
18,0.984218,0.403118,5.1465
19,0.900419,0.320419,4.8931
20,0.877420,0.341120,4.5131
21,0.743021,0.330721,4.6081
22,0.768322,0.237722,4.8219
23,0.735023,0.258423,4.4893
24,0.716624,0.248124,4.5606
25,0.678725,0.186025,4.5447
26,0.655826,0.196426,4.4339
27,0.560427,0.196427,4.5210
28,0.550128,0.186028,4.6793
29,0.504229,0.175729,4.0855
30,0.528330,0.186030,4.4656
31,0.511131,0.206731,4.3151
32,0.477732,0.134432,4.3468
33,0.466333,0.155033,4.2122
34,0.416934,0.144734,4.1330
35,0.395135,0.113735,4.2518
36,0.442136,0.124036,4.2835
37,0.397437,0.124037,4.2755
38,0.392838,0.103438,4.1647
39,0.380139,0.093039,4.1805
40,0.358340,0.134440,4.0697
41,0.354941,0.113741,3.9905
42,0.335342,0.103442,4.1805
43,0.343443,0.103443,4.0063
44,0.326244,0.093044,3.9667
45,0.313545,0.072445,3.8797
46,0.308946,0.093046,3.9192
47,0.294047,0.062047,4.0063
48,0.283748,0.072448,3.8638
49,0.297449,0.072449,4.0301
50,0.272250,0.062050,3.7609
