Epoch,TrainError,ValidError,TestError
1,43.24781,9.07491,17.3159
2,6.55642,1.63312,5.7878
3,2.70693,0.80623,4.0143
4,1.62044,0.80624,4.1251
5,1.15885,0.31015,2.9375
6,0.90156,0.15506,2.7078
7,0.75457,0.23777,2.6683
8,0.63748,0.16548,2.6762
9,0.48589,0.10349,2.3911
10,0.481210,0.186010,2.7474
11,0.377811,0.144711,2.5732
12,0.329612,0.062012,1.9636
13,0.275613,0.051713,2.2249
14,0.266414,0.113714,2.3990
15,0.272215,0.051715,1.6548
16,0.215916,0.041316,2.0348
17,0.225117,0.072417,1.6706
18,0.188318,0.072418,1.9398
19,0.179219,0.031019,1.7577
20,0.163120,0.041320,1.5202
21,0.149321,0.051721,1.8686
22,0.140122,0.082722,1.8844
23,0.112523,0.041323,1.7260
24,0.121724,0.031024,1.6865
25,0.125225,0.031025,1.8052
26,0.108026,0.031026,1.4885
27,0.098827,0.041327,1.6073
28,0.116028,0.051728,1.5598
29,0.160829,0.031029,1.7419
30,0.098830,0.031030,1.5044
31,0.104531,0.020731,1.4410
32,0.068932,0.010332,1.2906
33,0.097633,0.020733,1.5914
34,0.079234,0.010334,1.4648
35,0.066635,0.031035,1.5202
