Epoch,TrainError,ValidError,TestError
1,62.84571,44.18371,47.8306
2,30.07822,11.83672,15.3365
3,13.09233,4.03063,7.1655
4,7.25464,1.86224,4.2122
5,4.54265,1.12245,3.4996
6,3.32126,0.89296,3.0404
7,2.69507,0.76537,2.7712
8,2.11128,0.73988,2.4861
9,1.85339,0.58679,2.3436
10,1.513310,0.510210,2.4307
11,1.419711,0.459211,2.0744
12,1.133512,0.586712,2.0348
13,1.059913,0.459213,2.3436
14,1.000314,0.408214,1.8290
15,0.858615,0.382715,1.9161
16,0.807616,0.306116,1.9715
17,0.816117,0.331617,1.7577
18,0.660318,0.331618,1.8211
19,0.637619,0.306119,1.8606
20,0.620620,0.280620,1.6627
21,0.575321,0.306121,1.5123
22,0.552622,0.306122,1.7102
23,0.521423,0.280623,1.6152
24,0.436424,0.229624,1.3539
25,0.464725,0.229625,1.4806
26,0.362726,0.306126,1.5360
27,0.342927,0.229627,1.4806
28,0.391128,0.280628,1.3618
29,0.340129,0.178629,1.4410
30,0.323130,0.178630,1.3302
31,0.340131,0.255131,1.3460
32,0.238032,0.204132,1.4093
33,0.277733,0.255133,1.3143
34,0.308934,0.204134,1.3856
35,0.266435,0.204135,1.4331
36,0.255036,0.204136,1.3381
37,0.232437,0.255137,1.3856
38,0.218238,0.229638,1.3222
39,0.243739,0.229639,1.2985
40,0.238040,0.229640,1.4885
41,0.181441,0.229641,1.4806
42,0.195542,0.204142,1.5994
43,0.133243,0.229643,1.2352
44,0.178544,0.204144,1.4727
45,0.147445,0.229645,1.2589
46,0.167246,0.255146,1.2985
47,0.170047,0.178647,1.3064
48,0.133248,0.229648,1.2589
49,0.127549,0.178649,1.2589
50,0.164450,0.204150,1.2827
51,0.158751,0.204151,1.2510
52,0.133252,0.178652,1.2352
53,0.150253,0.178653,1.2431
54,0.124754,0.153154,1.1322
55,0.119055,0.178655,1.1876
56,0.153056,0.204156,1.2272
57,0.150257,0.178657,1.1956
58,0.141758,0.153158,1.1876
59,0.102059,0.178659,1.4648
60,0.087860,0.178660,1.2668
61,0.110561,0.153161,1.1956
62,0.127562,0.153162,1.1956
63,0.087863,0.153163,1.1956
64,0.104964,0.153164,1.2668
65,0.093565,0.178665,1.0293
66,0.141766,0.153166,1.1560
67,0.116267,0.204167,1.2589
68,0.056768,0.178668,1.1718
69,0.079369,0.127669,1.1085
70,0.068070,0.127670,1.1718
71,0.082271,0.178671,1.2193
72,0.104972,0.178672,1.1797
73,0.070873,0.153173,1.1085
74,0.073774,0.178674,1.1085
75,0.107775,0.178675,1.0214
76,0.079376,0.178676,1.2193
77,0.062377,0.178677,1.1243
78,0.087878,0.178678,1.1718
79,0.099279,0.153179,1.1164
80,0.087880,0.178680,1.1322
81,0.090781,0.127681,1.1243
82,0.059582,0.178682,1.2272
83,0.059583,0.178683,1.1639
84,0.096484,0.127684,1.2114
85,0.059585,0.178685,1.1322
86,0.073786,0.153186,1.2352
87,0.062387,0.153187,1.2589
88,0.062388,0.153188,1.2827
89,0.079389,0.204189,1.1481
90,0.062390,0.153190,1.1560
91,0.028391,0.153191,1.1876
92,0.065292,0.178692,1.0530
93,0.059593,0.178693,1.1956
94,0.107794,0.178694,1.1876
95,0.059595,0.178695,1.1639
96,0.053896,0.178696,1.0451
97,0.073797,0.153197,1.0055
98,0.062398,0.127698,1.0847
99,0.056799,0.178699,1.0451
100,0.0652100,0.1531100,1.1085
101,0.0340101,0.1531101,1.0689
102,0.0397102,0.1531102,1.1401
103,0.0340103,0.1276103,1.0055
104,0.0368104,0.1786104,0.9976
105,0.0793105,0.1786105,1.1085
106,0.0907106,0.1276106,0.9501
107,0.0227107,0.1276107,0.9184
108,0.0482108,0.1276108,1.0847
109,0.0708109,0.1531109,0.9501
110,0.0425110,0.1276110,1.0372
111,0.0368111,0.1276111,0.9105
112,0.0340112,0.1276112,1.0293
113,0.0623113,0.1276113,0.9818
114,0.0368114,0.1531114,1.0055
115,0.0340115,0.1531115,1.0847
116,0.0567116,0.1786116,1.0214
117,0.0737117,0.1786117,1.0451
118,0.0255118,0.1786118,1.1876
119,0.0198119,0.1786119,0.9739
120,0.0340120,0.1786120,0.9818
121,0.0567121,0.1786121,0.9105
122,0.0397122,0.1786122,1.2352
123,0.0397123,0.1276123,1.0689
124,0.0482124,0.1531124,1.1085
125,0.0283125,0.1276125,1.1322
126,0.0283126,0.1786126,1.0372
127,0.0482127,0.1276127,1.0451
128,0.0340128,0.1531128,1.0214
129,0.0567129,0.1531129,1.0293
130,0.0482130,0.1531130,1.0135
131,0.0368131,0.1276131,1.1006
132,0.0368132,0.1276132,1.0293
133,0.0397133,0.1276133,0.9026
134,0.0340134,0.1276134,0.9976
135,0.0255135,0.1531135,0.9976
136,0.0368136,0.1531136,1.0214
137,0.0198137,0.1276137,1.1401
138,0.0255138,0.1276138,0.9818
139,0.0283139,0.1531139,0.9739
140,0.0482140,0.1276140,1.1718
141,0.0595141,0.1531141,1.0847
142,0.0368142,0.1531142,1.3777
143,0.0368143,0.1276143,1.1164
144,0.0340144,0.1276144,1.1876
145,0.0312145,0.1531145,1.0768
146,0.0397146,0.1531146,1.1956
147,0.0538147,0.1276147,1.1956
148,0.0113148,0.1531148,1.1718
149,0.0170149,0.1531149,1.1401
150,0.0283150,0.1276150,0.9897
