Epoch,TrainError,ValidError,TestError
1,62.84571,44.18371,47.8306
2,30.07822,11.83672,15.3365
3,13.09233,4.03063,7.1655
4,7.25464,1.86224,4.2122
5,4.54265,1.12245,3.4996
6,3.32126,0.89296,3.0404
7,2.69507,0.76537,2.7712
8,2.11128,0.73988,2.4861
9,1.85339,0.58679,2.3436
10,1.513310,0.510210,2.4307
11,1.419711,0.459211,2.0744
12,1.133512,0.586712,2.0348
13,1.059913,0.459213,2.3436
14,1.000314,0.408214,1.8290
15,0.858615,0.382715,1.9161
16,0.807616,0.306116,1.9715
17,0.816117,0.331617,1.7577
18,0.660318,0.331618,1.8211
19,0.637619,0.306119,1.8606
20,0.620620,0.280620,1.6627
21,0.575321,0.306121,1.5123
22,0.552622,0.306122,1.7102
23,0.521423,0.280623,1.6152
24,0.436424,0.229624,1.3539
25,0.464725,0.229625,1.4806
26,0.362726,0.306126,1.5360
27,0.342927,0.229627,1.4806
28,0.391128,0.280628,1.3618
29,0.340129,0.178629,1.4410
30,0.323130,0.178630,1.3302
