Epoch,TrainError,ValidError,TestError
1,60.15361,32.83161,37.2447
2,23.08432,5.00002,11.0135
3,8.96343,2.55103,6.6587
4,5.23974,1.73474,5.4473
5,3.25045,1.22455,4.4339
6,2.50516,1.04596,4.0380
7,2.10277,0.96947,3.8321
8,1.76838,0.76538,3.8005
9,1.45389,0.66339,3.4759
10,1.238410,0.765310,3.1671
11,1.122211,0.612211,3.1987
12,1.116512,0.484712,3.4600
13,0.906813,0.484713,3.2067
14,0.745314,0.484714,3.1829
15,0.734015,0.612215,3.1908
16,0.683016,0.433716,2.9375
17,0.640417,0.459217,3.1116
18,0.575318,0.382718,2.6366
19,0.501619,0.408219,2.9295
20,0.490320,0.561220,2.7712
21,0.493121,0.382721,2.9295
22,0.453422,0.331622,3.0166
23,0.413723,0.306123,2.9058
24,0.408124,0.408224,2.6603
25,0.376925,0.433725,2.7237
26,0.351426,0.357126,2.7791
27,0.365627,0.459227,2.6999
28,0.340128,0.357128,2.4703
29,0.323129,0.408229,2.8583
30,0.368430,0.331630,2.8345
31,0.226731,0.306131,2.7078
32,0.263532,0.280632,2.3832
33,0.263533,0.306133,2.7316
34,0.255034,0.331634,2.5812
35,0.277735,0.306135,2.7870
36,0.204036,0.331636,2.8266
37,0.209737,0.280637,2.5732
38,0.198438,0.331638,2.6603
39,0.195539,0.280639,2.5574
40,0.272040,0.331640,2.7395
41,0.232441,0.280641,2.5099
42,0.158742,0.306142,2.4149
43,0.209743,0.255143,2.7949
44,0.192744,0.229644,2.8108
45,0.167245,0.229645,2.3674
46,0.164446,0.255146,2.6841
47,0.150247,0.280647,2.4703
48,0.124748,0.280648,2.6128
49,0.116249,0.255149,2.5099
50,0.119050,0.204150,2.2724
51,0.150251,0.229651,2.5653
52,0.161552,0.178652,2.3278
53,0.147453,0.255153,2.3120
54,0.147454,0.306154,2.5495
55,0.116255,0.306155,2.3753
56,0.124756,0.280656,2.4861
57,0.133257,0.255157,2.4386
58,0.107758,0.255158,2.2961
59,0.119059,0.178659,2.4228
60,0.113460,0.280660,2.4466
61,0.090761,0.204161,2.4070
62,0.073762,0.178662,2.3199
63,0.141763,0.280663,2.4545
64,0.099264,0.178664,2.4149
65,0.079365,0.204165,2.3595
66,0.119066,0.255166,2.3595
67,0.107767,0.204167,2.5178
68,0.104968,0.229668,2.6287
69,0.076569,0.229669,2.5337
70,0.107770,0.229670,2.4228
