Epoch,TrainError,ValidError,TestError
1,60.36331,33.26531,37.7039
2,23.33942,4.97452,11.4014
3,8.81893,2.57653,7.0230
4,5.18594,1.78574,5.3207
5,3.29575,1.09695,4.5051
6,2.45986,1.02046,4.0380
7,2.25577,0.94397,3.7213
8,1.71458,0.81638,3.7292
9,1.56439,0.71439,3.3967
10,1.394210,0.586710,3.2462
11,1.045711,0.535711,3.1196
12,1.020212,0.612212,3.6342
13,0.853013,0.637813,3.2542
14,0.753814,0.484714,3.0404
15,0.742515,0.510215,3.4125
16,0.614916,0.408216,3.1116
17,0.626317,0.408217,3.1750
18,0.518618,0.331618,2.8820
19,0.524319,0.433719,3.0087
20,0.470420,0.433720,3.0562
21,0.521421,0.382721,3.0958
22,0.473222,0.408222,3.2542
23,0.490323,0.331623,3.1829
24,0.374124,0.382724,2.7633
25,0.592325,0.459225,2.8899
26,0.385426,0.408226,2.9454
27,0.382627,0.408227,2.9929
28,0.337228,0.306128,2.8266
29,0.334429,0.357129,3.0641
30,0.345730,0.306130,2.8266
31,0.277731,0.306131,2.9612
32,0.252232,0.255132,2.8187
33,0.306133,0.255133,2.6603
34,0.206934,0.357134,2.8583
35,0.277735,0.357135,2.7474
36,0.201236,0.331636,2.8345
37,0.201237,0.331637,2.5416
38,0.172938,0.229638,2.6128
39,0.155939,0.306139,2.6999
40,0.294740,0.306140,2.8187
41,0.221041,0.306141,2.6762
42,0.178542,0.382742,2.8266
43,0.184243,0.255143,2.7712
44,0.141744,0.280644,2.8741
45,0.138945,0.331645,2.6603
46,0.167246,0.306146,2.5495
47,0.138947,0.331647,2.5732
48,0.119048,0.331648,2.7949
49,0.121949,0.255149,2.8029
50,0.110550,0.255150,2.8029
51,0.147451,0.255151,2.7316
52,0.215452,0.204152,2.7395
53,0.181453,0.255153,2.6524
54,0.155954,0.280654,2.7316
55,0.113455,0.280655,2.7158
56,0.119056,0.255156,2.5416
57,0.127557,0.306157,2.4782
58,0.119058,0.280658,2.6366
59,0.189959,0.229659,2.5099
60,0.257960,0.280660,2.5495
61,0.124761,0.280661,2.6207
62,0.136062,0.153162,2.5574
63,0.127563,0.306163,2.4386
64,0.059564,0.204164,2.4070
65,0.107765,0.280665,2.5812
66,0.110566,0.255166,2.4466
67,0.119067,0.255167,2.4624
68,0.121968,0.255168,2.5416
69,0.130469,0.255169,2.8979
70,0.130470,0.204170,2.6603
71,0.102071,0.229671,2.3595
72,0.110572,0.229672,2.3436
73,0.073773,0.255173,2.2328
74,0.051074,0.204174,2.3357
75,0.056775,0.229675,2.4307
76,0.053876,0.229676,2.3199
77,0.070877,0.255177,2.5257
78,0.070878,0.306178,2.4466
79,0.087879,0.255179,2.3911
80,0.090780,0.153180,2.4624
81,0.053881,0.229681,2.4941
82,0.110582,0.255182,2.3515
83,0.082283,0.229683,2.4941
84,0.070884,0.306184,2.3911
85,0.070885,0.255185,2.5970
86,0.070886,0.255186,2.6524
87,0.076587,0.204187,2.5257
88,0.056788,0.229688,2.5337
89,0.045389,0.204189,2.3595
90,0.045390,0.204190,2.5020
91,0.051091,0.255191,2.3199
92,0.076592,0.229692,2.5020
93,0.062393,0.255193,2.3990
94,0.240994,0.229694,2.2882
95,0.124795,0.255195,2.3278
96,0.104996,0.255196,2.4228
97,0.085097,0.204197,2.6207
98,0.087898,0.306198,2.3911
99,0.102099,0.331699,2.3990
100,0.0482100,0.2551100,2.3832
101,0.0595101,0.2296101,2.3199
102,0.0878102,0.2296102,2.2249
103,0.0765103,0.2551103,2.3278
104,0.0737104,0.2296104,2.2169
105,0.0793105,0.2296105,2.3040
106,0.0538106,0.3061106,2.2011
107,0.0680107,0.1786107,2.2803
108,0.0595108,0.1786108,2.3120
109,0.0595109,0.1531109,2.2011
110,0.0623110,0.1786110,2.6524
111,0.0595111,0.2041111,2.4545
112,0.0850112,0.2551112,2.2565
113,0.0708113,0.2296113,2.3595
114,0.0482114,0.2551114,2.3832
115,0.0425115,0.2551115,2.3674
116,0.0510116,0.3316116,2.2644
117,0.0510117,0.2551117,2.2407
118,0.0623118,0.2551118,2.2961
119,0.0425119,0.1786119,2.1298
120,0.0397120,0.2041120,2.1536
121,0.0368121,0.2041121,2.2961
122,0.0623122,0.2296122,2.3911
123,0.0283123,0.1531123,2.2803
124,0.0482124,0.1531124,2.2249
125,0.0425125,0.2041125,2.4070
126,0.0652126,0.1786126,2.3120
127,0.0595127,0.1531127,2.4149
128,0.0368128,0.2551128,2.3040
129,0.0453129,0.2551129,2.2803
130,0.0312130,0.2551130,2.2724
131,0.0510131,0.2296131,2.3595
132,0.0340132,0.2296132,2.2169
133,0.0595133,0.2041133,2.2565
134,0.0397134,0.2296134,2.4703
135,0.0538135,0.2041135,2.5257
136,0.0453136,0.2041136,2.3515
137,0.0283137,0.2041137,2.3436
138,0.0425138,0.2041138,2.5495
139,0.0312139,0.1786139,2.3832
140,0.0340140,0.2041140,2.5020
141,0.0482141,0.2296141,2.4307
142,0.0368142,0.1786142,2.3753
143,0.0283143,0.2551143,2.5257
144,0.0453144,0.2806144,2.5337
145,0.0198145,0.2296145,2.4307
146,0.0170146,0.2296146,2.3040
147,0.0283147,0.2041147,2.3515
148,0.0312148,0.2296148,2.3753
149,0.0453149,0.2296149,2.4070
150,0.0227150,0.2041150,2.2882
