Epoch,TrainError,ValidError,TestError
1,62.84571,44.18371,47.8306
2,30.07822,11.83672,15.3365
3,13.09233,4.03063,7.1655
4,7.25464,1.86224,4.2122
5,4.54265,1.12245,3.4996
6,3.32126,0.89296,3.0404
7,2.69507,0.76537,2.7712
8,2.11128,0.73988,2.4861
9,1.85339,0.58679,2.3436
10,1.513310,0.510210,2.4307
11,1.419711,0.459211,2.0744
12,1.133512,0.586712,2.0348
13,1.059913,0.459213,2.3436
14,1.000314,0.408214,1.8290
15,0.858615,0.382715,1.9161
16,0.807616,0.306116,1.9715
17,0.816117,0.331617,1.7577
18,0.660318,0.331618,1.8211
19,0.637619,0.306119,1.8606
20,0.620620,0.280620,1.6627
21,0.575321,0.306121,1.5123
22,0.552622,0.306122,1.7102
23,0.521423,0.280623,1.6152
24,0.436424,0.229624,1.3539
25,0.464725,0.229625,1.4806
26,0.362726,0.306126,1.5360
27,0.342927,0.229627,1.4806
28,0.391128,0.280628,1.3618
29,0.340129,0.178629,1.4410
30,0.323130,0.178630,1.3302
31,0.340131,0.255131,1.3460
32,0.238032,0.204132,1.4093
33,0.277733,0.255133,1.3143
34,0.308934,0.204134,1.3856
35,0.266435,0.204135,1.4331
36,0.255036,0.204136,1.3381
37,0.232437,0.255137,1.3856
38,0.218238,0.229638,1.3222
39,0.243739,0.229639,1.2985
40,0.238040,0.229640,1.4885
41,0.181441,0.229641,1.4806
42,0.195542,0.204142,1.5994
43,0.133243,0.229643,1.2352
44,0.178544,0.204144,1.4727
45,0.147445,0.229645,1.2589
46,0.167246,0.255146,1.2985
47,0.170047,0.178647,1.3064
48,0.133248,0.229648,1.2589
49,0.127549,0.178649,1.2589
50,0.164450,0.204150,1.2827
51,0.158751,0.204151,1.2510
52,0.133252,0.178652,1.2352
53,0.150253,0.178653,1.2431
54,0.124754,0.153154,1.1322
55,0.119055,0.178655,1.1876
56,0.153056,0.204156,1.2272
57,0.150257,0.178657,1.1956
58,0.141758,0.153158,1.1876
59,0.102059,0.178659,1.4648
60,0.087860,0.178660,1.2668
61,0.110561,0.153161,1.1956
62,0.127562,0.153162,1.1956
63,0.087863,0.153163,1.1956
64,0.104964,0.153164,1.2668
65,0.093565,0.178665,1.0293
66,0.141766,0.153166,1.1560
67,0.116267,0.204167,1.2589
68,0.056768,0.178668,1.1718
69,0.079369,0.127669,1.1085
70,0.068070,0.127670,1.1718
