Epoch,TrainError,ValidError,TestError
1,32.69251,3.05941,9.5566
2,4.21362,0.81652,5.7720
3,2.11313,0.47553,4.3230
4,1.38854,0.45484,4.0380
5,1.07725,0.31015,3.6817
6,0.81656,0.20676,3.5629
7,0.67647,0.19647,3.5629
8,0.61448,0.13448,3.3571
9,0.53759,0.13449,2.9770
10,0.413410,0.103410,3.0958
11,0.391611,0.093011,3.0166
12,0.328512,0.113712,2.8266
13,0.384713,0.103413,3.0325
14,0.319314,0.093014,2.9216
15,0.272215,0.103415,2.9612
16,0.248116,0.113716,2.8662
17,0.196417,0.093017,3.0008
18,0.212518,0.082718,3.0483
19,0.192919,0.113719,2.7078
20,0.190620,0.103420,2.8820
21,0.157321,0.093021,2.5653
22,0.218222,0.103422,2.8266
23,0.166523,0.103423,2.4703
24,0.139024,0.093024,2.8583
25,0.151625,0.113725,2.7395
26,0.122926,0.093026,2.6841
27,0.125227,0.093027,2.6445
28,0.125228,0.072428,2.4861
29,0.078129,0.062029,2.6128
30,0.096530,0.062030,2.5416
31,0.108031,0.051731,2.4861
32,0.113732,0.062032,2.4307
33,0.078133,0.082733,2.4624
34,0.099934,0.082734,2.6603
35,0.087335,0.062035,2.6762
36,0.086136,0.093036,2.4545
37,0.083837,0.072437,2.2803
38,0.067838,0.062038,2.6207
39,0.082739,0.062039,2.3990
40,0.073540,0.062040,2.3990
41,0.068941,0.072441,2.3595
42,0.075842,0.082742,2.4545
43,0.066643,0.082743,2.4466
44,0.062044,0.051744,2.4941
45,0.051745,0.072445,2.6603
46,0.071246,0.082746,2.6287
47,0.062047,0.062047,2.5970
48,0.050548,0.103448,2.5574
49,0.048249,0.082749,2.2565
50,0.062050,0.062050,2.2882
