Epoch,TrainError,ValidError,TestError
1,69.46081,81.60211,79.2637
2,49.63652,62.47032,63.6975
3,30.38533,18.99743,29.7862
4,20.07354,10.30494,20.4909
5,12.54095,4.99225,13.8717
6,8.50306,3.01816,9.9842
7,6.15687,2.42897,7.9018
8,4.50998,1.91218,6.4608
9,3.59809,1.58149,5.6374
10,3.296010,1.395310,5.0515
11,2.527711,1.043911,4.4814
12,2.197012,0.847512,4.2835
13,1.984513,0.713213,3.9905
14,1.935114,0.682214,3.8480
15,1.682515,0.485815,3.5550
16,1.422916,0.465116,3.3888
17,1.313817,0.413417,3.2621
18,1.192118,0.351418,3.2304
19,1.155319,0.341119,3.1908
20,1.096820,0.320420,3.0404
