Epoch,TrainError,ValidError,TestError
1,57.80151,28.41841,37.4505
2,20.87112,4.20922,10.6176
3,7.42753,1.55613,7.0705
4,4.41234,1.25004,5.8749
5,3.08325,0.81635,5.0356
6,2.41166,0.66336,5.0277
7,1.90157,0.56127,4.7506
8,1.58988,0.56128,4.5368
9,1.41419,0.56129,4.1964
10,1.181710,0.586710,4.2993
11,1.147711,0.459211,4.4576
12,0.966312,0.561212,3.7609
13,0.844513,0.510213,3.8005
14,0.765114,0.408214,4.0063
15,0.685815,0.510215,3.9192
16,0.592316,0.433716,3.6659
17,0.552617,0.408217,3.9905
18,0.566818,0.357118,3.6659
19,0.518619,0.357119,3.8084
20,0.416620,0.408220,3.6896
21,0.464721,0.382721,4.0143
22,0.413722,0.408222,3.7846
23,0.467623,0.331623,3.3967
24,0.544124,0.433724,3.6659
25,0.396725,0.331625,3.3571
26,0.334426,0.280626,3.5392
27,0.345727,0.331627,3.6975
28,0.351428,0.306128,3.4679
29,0.238029,0.331629,3.4204
30,0.269230,0.357130,3.2700
31,0.263531,0.255131,3.4283
32,0.232432,0.382732,2.9850
33,0.286233,0.255133,3.6105
34,0.232434,0.280634,3.1908
35,0.252235,0.255135,3.3650
36,0.235236,0.280636,3.1037
37,0.187037,0.229637,3.1433
38,0.223938,0.280638,3.4759
39,0.138939,0.204139,3.1116
40,0.198440,0.255140,3.0641
41,0.127541,0.255141,3.0245
42,0.158742,0.204142,3.4204
43,0.141743,0.280643,3.3571
44,0.144544,0.280644,3.2383
45,0.198445,0.255145,3.3254
46,0.175746,0.255146,3.0562
47,0.170047,0.255147,3.1512
48,0.138948,0.280648,3.1037
49,0.141749,0.255149,2.9058
50,0.127550,0.306150,3.0800
51,0.102051,0.280651,2.7553
52,0.096452,0.255152,2.9058
53,0.127553,0.229653,2.8662
54,0.130454,0.255154,2.7949
55,0.107755,0.280655,2.9533
56,0.161556,0.204156,2.8820
57,0.090757,0.255157,2.9058
58,0.099258,0.255158,3.0008
59,0.127559,0.229659,3.1196
60,0.130460,0.255160,2.9137
61,0.136061,0.229661,2.8108
62,0.104962,0.229662,3.1512
63,0.087863,0.204163,2.6287
64,0.087864,0.178664,3.0721
65,0.076565,0.204165,2.8029
66,0.107766,0.204166,2.8424
67,0.102067,0.229667,2.9612
68,0.127568,0.255168,3.0325
69,0.096469,0.229669,3.1354
70,0.110570,0.229670,3.0721
