Epoch,TrainError,ValidError,TestError
1,33.76171,4.49611,10.7680
2,4.65352,1.14732,4.8614
3,2.47033,0.41343,3.2858
4,1.32414,0.39284,2.8820
5,0.91075,0.22745,2.6287
6,0.72586,0.20676,2.5653
7,0.57317,0.14477,2.2803
8,0.47898,0.14478,2.4861
9,0.38599,0.08279,2.2565
10,0.351410,0.113710,2.1457
11,0.305511,0.041311,2.1615
12,0.241212,0.010312,1.9398
13,0.209013,0.041313,1.9873
14,0.197514,0.051714,1.8923
15,0.172315,0.041315,1.8211
16,0.214816,0.051716,2.0586
17,0.196417,0.041317,1.7260
18,0.142418,0.051718,1.8290
19,0.118319,0.031019,1.8923
20,0.127520,0.062020,1.9002
21,0.128621,0.031021,1.9002
22,0.116022,0.041322,1.7023
23,0.086123,0.031023,1.7340
24,0.103424,0.041324,1.5994
25,0.091925,0.010325,1.6390
26,0.097626,0.010326,1.6390
27,0.071227,0.010327,1.6310
28,0.043628,0.010328,1.6390
29,0.065529,0.020729,1.5044
30,0.057430,0.010330,1.5598
31,0.050531,0.010331,1.3539
32,0.064332,0.031032,1.4093
33,0.040233,0.020733,1.5519
34,0.054034,0.010334,1.3777
35,0.067835,0.010335,1.5044
