Epoch,TrainError,ValidError,TestError
1,62.68991,44.15821,47.4030
2,29.95642,11.02042,15.1069
3,12.74653,3.72453,7.1892
4,6.99104,1.55614,4.2597
5,4.30465,1.09695,3.5550
6,3.29576,0.91846,3.0800
7,2.55617,0.66337,2.7078
8,2.06878,0.79088,2.4545
9,1.78819,0.51029,2.2486
10,1.462310,0.612210,2.5495
11,1.283711,0.459211,2.1298
12,1.071212,0.484712,1.8606
13,1.034313,0.408213,2.1536
14,0.963514,0.408214,1.8052
15,0.884215,0.382715,2.1298
16,0.790616,0.357116,1.8290
17,0.779317,0.331617,1.8923
18,0.668818,0.357118,1.9477
19,0.609319,0.255119,1.8844
20,0.631920,0.255120,1.5994
21,0.541321,0.331621,1.4568
22,0.529922,0.306122,1.5756
23,0.476123,0.306123,1.6627
24,0.447724,0.204124,1.3935
25,0.427925,0.204125,1.3777
26,0.331626,0.255126,1.5439
27,0.357127,0.229627,1.4648
28,0.413728,0.229628,1.4173
29,0.314629,0.229629,1.3698
30,0.320230,0.229630,1.5439
31,0.308931,0.280631,1.4727
32,0.246532,0.229632,1.4648
33,0.289133,0.178633,1.3302
34,0.294734,0.153134,1.2193
35,0.249435,0.204135,1.2906
36,0.223936,0.127636,1.2906
37,0.221037,0.204137,1.3222
38,0.204038,0.178638,1.4173
39,0.243739,0.204139,1.4252
40,0.232440,0.229640,1.3064
41,0.181441,0.178641,1.3777
42,0.175742,0.153142,1.3143
43,0.161543,0.178643,1.2747
44,0.204044,0.178644,1.3381
45,0.150245,0.204145,1.1322
46,0.172946,0.178646,1.2589
47,0.167247,0.153147,1.1322
48,0.155948,0.204148,1.2589
49,0.133249,0.178649,1.1797
50,0.161550,0.178650,1.1718
51,0.141751,0.178651,1.3222
52,0.124752,0.178652,1.2668
53,0.164453,0.178653,1.1164
54,0.093554,0.153154,1.1639
55,0.087855,0.153155,1.1876
56,0.158756,0.204156,1.1718
57,0.130457,0.127657,1.2035
58,0.110558,0.178658,1.1797
59,0.113459,0.153159,1.4093
60,0.099260,0.178660,1.3064
61,0.090761,0.153161,1.2352
62,0.147462,0.153162,1.0768
63,0.104963,0.153163,1.1322
64,0.087864,0.153164,1.2193
65,0.082265,0.127665,1.1481
66,0.124766,0.127666,1.1481
67,0.093567,0.204167,1.2747
68,0.085068,0.204168,1.1401
69,0.068069,0.153169,1.0610
70,0.082270,0.153170,1.3381
71,0.087871,0.127671,1.1718
72,0.116272,0.127672,1.0451
73,0.068073,0.127673,1.1876
74,0.085074,0.127674,1.2747
75,0.119075,0.153175,1.1639
76,0.051076,0.153176,1.0214
77,0.059577,0.153177,1.0926
78,0.065278,0.178678,1.1322
79,0.070879,0.153179,1.1560
80,0.036880,0.178680,1.1164
81,0.082281,0.178681,1.2906
82,0.042582,0.178682,1.1797
83,0.070883,0.153183,1.1164
84,0.079384,0.102084,1.1876
85,0.065285,0.127685,1.1718
86,0.085086,0.153186,1.0926
87,0.065287,0.178687,1.1085
88,0.042588,0.153188,1.1006
89,0.070889,0.178689,1.1876
90,0.062390,0.153190,1.0768
91,0.042591,0.178691,1.0768
92,0.025592,0.153192,1.1085
93,0.059593,0.153193,1.1164
94,0.073794,0.178694,1.0372
95,0.059595,0.153195,1.0135
96,0.062396,0.178696,1.0847
97,0.059597,0.153197,1.1085
98,0.073798,0.153198,1.0135
99,0.042599,0.127699,1.0689
100,0.0482100,0.1786100,1.0530
101,0.0425101,0.1786101,1.0372
102,0.0340102,0.1786102,1.0530
103,0.0340103,0.1786103,1.0372
104,0.0425104,0.1531104,0.9976
105,0.0510105,0.2041105,1.1085
106,0.0567106,0.1786106,0.9976
107,0.0368107,0.1531107,0.9501
108,0.0510108,0.1531108,1.1006
109,0.0453109,0.1531109,0.9739
110,0.0510110,0.1276110,1.1401
111,0.0283111,0.1531111,0.9422
112,0.0283112,0.1531112,0.9580
113,0.0538113,0.1276113,1.1164
114,0.0312114,0.1276114,1.0610
115,0.0510115,0.1786115,1.1956
116,0.0595116,0.1531116,0.9976
117,0.0425117,0.1531117,1.0293
118,0.0397118,0.1531118,1.1401
119,0.0255119,0.1786119,1.0451
120,0.0340120,0.1531120,0.9976
121,0.0397121,0.1276121,0.8868
122,0.0312122,0.1276122,1.1085
123,0.0368123,0.1020123,1.0214
124,0.0595124,0.1276124,1.0372
125,0.0283125,0.1531125,1.0214
126,0.0453126,0.1531126,1.0768
127,0.0482127,0.1020127,0.9660
128,0.0482128,0.1276128,1.0135
129,0.0595129,0.1786129,1.0926
130,0.0567130,0.1531130,1.0530
131,0.0397131,0.1276131,1.1006
132,0.0680132,0.1276132,1.0293
133,0.0255133,0.1276133,0.9660
134,0.0227134,0.1531134,1.0926
135,0.0737135,0.1531135,0.9343
136,0.0340136,0.1276136,0.9897
137,0.0312137,0.1531137,1.0372
138,0.0340138,0.1276138,0.9184
139,0.0283139,0.1531139,1.0451
140,0.0340140,0.1531140,1.0293
141,0.0510141,0.1531141,1.0451
142,0.0425142,0.1276142,1.2193
143,0.0312143,0.1531143,1.0926
144,0.0312144,0.1531144,1.1639
145,0.0340145,0.1531145,1.1006
146,0.0312146,0.1531146,1.1560
147,0.0198147,0.1531147,1.0689
148,0.0227148,0.1276148,1.0926
149,0.0227149,0.1276149,0.9580
150,0.0397150,0.1276150,0.9976
