Epoch,TrainError,ValidError,TestError
1,53.89371,22.37241,25.2652
2,17.65472,4.69392,8.0048
3,7.01093,1.78573,4.1805
4,4.33014,1.19904,3.1354
5,2.84235,0.94395,2.8662
6,2.02056,0.73986,2.6207
7,1.75707,0.71437,2.5812
8,1.49348,0.63788,2.5178
9,1.21299,0.40829,1.9082
10,0.926710,0.408210,2.1457
11,0.836011,0.408211,1.8765
12,0.773612,0.357112,1.8923
13,0.623413,0.280613,1.7656
14,0.705614,0.382714,1.9240
15,0.580915,0.280615,1.8844
16,0.595116,0.204116,1.7815
17,0.478917,0.306117,1.9319
18,0.507318,0.255118,1.8052
19,0.405219,0.204119,1.7340
20,0.408120,0.229620,1.8844
21,0.362721,0.255121,1.7023
22,0.376922,0.229622,1.5123
23,0.274923,0.229623,1.5123
24,0.277724,0.204124,1.4489
25,0.289125,0.204125,1.5677
26,0.255026,0.229626,1.6469
27,0.240927,0.229627,1.5439
28,0.357128,0.229628,1.5360
29,0.280529,0.178629,1.5439
30,0.252230,0.178630,1.3777
31,0.204031,0.178631,1.5439
32,0.189932,0.229632,1.4964
33,0.195533,0.229633,1.6785
34,0.184234,0.127634,1.3935
35,0.164435,0.204135,1.3222
36,0.175736,0.178636,1.4252
37,0.150237,0.204137,1.5360
38,0.153038,0.153138,1.3302
39,0.170039,0.153139,1.5123
40,0.170040,0.229640,1.3143
41,0.130441,0.153141,1.4173
42,0.099242,0.178642,1.4568
43,0.161543,0.178643,1.3698
44,0.113444,0.204144,1.4173
45,0.102045,0.204145,1.5360
46,0.087846,0.204146,1.4489
47,0.147447,0.178647,1.4568
48,0.107748,0.204148,1.2747
49,0.090749,0.153149,1.4410
50,0.110550,0.178650,1.3381
51,0.116251,0.204151,1.2431
52,0.107752,0.229652,1.1956
53,0.102053,0.204153,1.3698
54,0.104954,0.204154,1.4489
55,0.065255,0.178655,1.3381
56,0.070856,0.229656,1.3618
57,0.073757,0.204157,1.2431
58,0.070858,0.178658,1.3698
59,0.096459,0.153159,1.2906
60,0.099260,0.204160,1.2906
61,0.065261,0.178661,1.2431
62,0.059562,0.153162,1.1956
63,0.073763,0.178663,1.2906
64,0.065264,0.204164,1.2114
65,0.039765,0.178665,1.1718
66,0.059566,0.178666,1.2114
67,0.079367,0.204167,1.3143
68,0.070868,0.178668,1.2747
69,0.051069,0.153169,1.3143
70,0.082270,0.127670,1.4014
