Epoch,TrainError,ValidError,TestError
1,15.71751,1.57111,8.3373
2,0.91422,0.38242,6.4687
3,0.22163,0.29973,5.8353
4,0.07814,0.22744,5.4553
5,0.00575,0.15505,5.6532
6,0.00006,0.12406,5.7086
7,0.00007,0.10347,5.6057
8,0.00008,0.10348,5.6295
9,0.00009,0.10349,5.6611
10,0.000010,0.103410,5.6453
11,0.000011,0.103411,5.6295
12,0.000012,0.103412,5.6215
13,0.000013,0.103413,5.6215
14,0.000014,0.103414,5.6295
15,0.000015,0.103415,5.6215
16,0.000016,0.103416,5.6057
17,0.000017,0.103417,5.5978
18,0.000018,0.103418,5.6136
19,0.000019,0.103419,5.6215
20,0.000020,0.103420,5.5899
21,0.000021,0.103421,5.6057
22,0.000022,0.103422,5.6057
23,0.000023,0.103423,5.6057
24,0.000024,0.103424,5.6057
25,0.000025,0.103425,5.6215
26,0.000026,0.103426,5.6215
27,0.000027,0.103427,5.6295
28,0.000028,0.103428,5.6453
29,0.000029,0.103429,5.6453
30,0.000030,0.103430,5.6453
31,0.000031,0.103431,5.6453
32,0.000032,0.103432,5.6532
33,0.000033,0.103433,5.6532
34,0.000034,0.103434,5.6532
35,0.000035,0.103435,5.6532
36,0.000036,0.103436,5.6532
37,0.000037,0.103437,5.6532
38,0.000038,0.103438,5.6611
39,0.000039,0.103439,5.6611
40,0.000040,0.103440,5.6690
41,0.000041,0.103441,5.6770
42,0.000042,0.103442,5.6770
43,0.000043,0.103443,5.6770
44,0.000044,0.103444,5.6770
45,0.000045,0.103445,5.6770
46,0.000046,0.103446,5.6770
47,0.000047,0.103447,5.6611
48,0.000048,0.103448,5.6611
49,0.000049,0.103449,5.6532
50,0.000050,0.103450,5.6532
