Epoch,TrainError,ValidError,TestError
1,24.65001,1.27131,8.3769
2,0.98082,0.52712,5.9937
3,0.26533,0.21713,5.4632
4,0.12634,0.31014,5.7720
5,0.03795,0.08275,5.3286
6,0.00116,0.11376,5.1702
7,0.00007,0.11377,5.1386
8,0.00008,0.11378,5.1465
9,0.00009,0.10349,5.1148
10,0.000010,0.103410,5.1306
11,0.000011,0.103411,5.1069
12,0.000012,0.113712,5.0990
13,0.000013,0.113713,5.0990
14,0.000014,0.113714,5.1148
15,0.000015,0.113715,5.1148
16,0.000016,0.113716,5.0990
17,0.000017,0.113717,5.1148
18,0.000018,0.113718,5.1148
19,0.000019,0.113719,5.1227
20,0.000020,0.113720,5.1306
21,0.000021,0.113721,5.1386
22,0.000022,0.113722,5.1623
23,0.000023,0.113723,5.1702
24,0.000024,0.103424,5.1781
25,0.000025,0.103425,5.1861
