Epoch,TrainError,ValidError,TestError
1,60.90171,31.98981,38.7015
2,29.90542,7.47452,14.3626
3,13.71003,3.08673,9.2003
4,7.70804,2.06634,7.1021
5,5.54865,1.12245,5.7324
6,3.79736,1.12246,4.9327
7,3.18527,0.86737,4.2518
8,2.30968,0.61228,4.5685
9,2.21619,0.61229,4.4101
10,1.938310,0.459210,4.2359
11,1.944011,0.714311,4.4576
12,1.558612,0.280612,3.6421
13,1.198713,0.382713,4.1489
14,1.385714,0.408214,3.4204
15,1.142015,0.280615,3.3413
16,1.006016,0.280616,3.5234
17,1.099517,0.280617,3.5550
18,0.875718,0.229618,3.5788
19,0.725519,0.306119,3.2700
20,0.722620,0.178620,3.6896
21,0.734021,0.204121,3.5154
22,0.765122,0.178622,3.4521
23,0.663123,0.178623,4.0063
24,0.643324,0.178624,3.7292
25,0.563925,0.255125,3.6817
26,0.580926,0.255126,3.3254
27,0.580927,0.229627,3.7371
28,0.538428,0.204128,3.3729
29,0.456229,0.204129,3.2858
30,0.493130,0.280630,3.2542
31,0.467631,0.229631,3.7846
32,0.473232,0.102032,3.2542
33,0.410933,0.178633,3.3175
34,0.470434,0.102034,3.2304
35,0.362735,0.306135,3.3175
36,0.427936,0.204136,3.1987
37,0.388237,0.178637,3.1671
38,0.393938,0.204138,3.8559
39,0.376939,0.153139,3.1987
40,0.331640,0.178640,3.1908
41,0.340141,0.102041,2.7078
42,0.317442,0.153142,3.2146
43,0.328743,0.102043,2.7237
44,0.323144,0.127644,3.0483
45,0.308945,0.127645,3.1037
46,0.399646,0.102046,2.8979
47,0.314647,0.127647,2.9691
48,0.700048,0.153148,2.8820
49,0.323149,0.229649,2.8741
50,0.303250,0.127650,2.8583
