Epoch,TrainError,ValidError,TestError
1,57.08741,26.96431,36.4450
2,25.28622,7.24492,14.9169
3,12.39513,2.34693,9.8733
4,7.22914,1.37764,8.1948
5,5.82925,1.04595,6.9913
6,4.55686,0.79086,6.2945
7,3.43467,0.76537,5.8511
8,2.85658,0.51028,5.8432
9,2.11979,0.56129,5.3048
10,1.927010,0.382710,4.8377
11,1.683311,0.433711,4.3785
12,1.592612,0.382712,5.2415
13,1.504813,0.382713,4.6556
14,1.258214,0.535714,5.2969
15,1.218515,0.306115,4.6793
16,1.173216,0.255116,4.7743
17,1.068417,0.255117,4.8773
18,0.884218,0.229618,4.7348
19,2.522119,0.357119,4.7427
20,1.365920,0.255120,4.9565
21,1.482121,0.255121,5.1386
22,1.181722,0.178622,4.2993
23,0.921023,0.255123,4.7427
24,1.082524,0.204124,4.6318
25,1.167525,0.229625,4.9248
26,1.065526,0.280626,4.3072
27,0.804827,0.255127,4.3785
28,0.785028,0.229628,4.0380
29,0.966329,0.229629,3.9667
30,0.677330,0.280630,4.4656
31,0.708531,0.357131,4.2993
32,0.606432,0.280632,3.9984
33,0.563933,0.229633,3.7213
34,0.651834,0.229634,4.0538
35,0.753835,0.178635,4.1805
36,0.563936,0.229636,3.6342
37,0.680137,0.306137,3.9034
38,0.456238,0.229638,3.6184
39,0.663139,0.178639,4.1330
40,0.563940,0.204140,3.9192
41,1.255441,0.331641,4.6556
42,0.870042,0.255142,3.6738
43,0.827543,0.229643,3.6184
44,0.510144,0.204144,3.8559
45,0.561145,0.204145,3.9034
46,0.405246,0.204146,3.7292
47,0.589447,0.280647,3.9588
48,0.504448,0.255148,3.5629
49,0.711349,0.204149,3.8163
50,0.456250,0.204150,4.2280
51,0.603651,0.255151,3.8638
52,0.544152,0.204152,4.0855
53,0.444953,0.280653,3.8005
54,0.422254,0.178654,3.7213
55,0.379755,0.178655,3.4046
56,0.246556,0.178656,3.7846
57,0.303257,0.153157,3.3808
58,0.280558,0.229658,4.0301
59,0.348659,0.229659,4.1568
60,0.277760,0.153160,3.3729
61,0.277761,0.153161,3.4442
62,0.399662,0.127662,3.9984
63,0.283463,0.153163,3.7767
64,0.419464,0.178664,3.8163
65,0.617865,0.204165,3.7688
66,0.365666,0.178666,3.4917
67,0.337267,0.178667,3.1512
68,0.277768,0.178668,3.3017
69,0.277769,0.127669,3.8559
70,0.374170,0.178670,3.6184
71,0.291971,0.127671,3.6659
72,0.294772,0.178672,3.5154
73,0.206973,0.102073,3.2779
74,0.374174,0.204174,3.3729
75,0.354275,0.229675,3.3492
76,0.464776,0.229676,3.6025
77,0.853077,0.153177,4.0301
78,0.490378,0.178678,3.8955
79,0.368479,0.153179,3.6263
80,1.255480,0.255180,3.4283
81,0.782181,0.204181,3.3254
82,0.719882,0.229682,3.5313
83,0.527183,0.204183,3.8005
84,0.447784,0.127684,3.6975
85,0.430785,0.127685,3.4996
86,0.306186,0.178686,3.1750
87,0.476187,0.178687,3.5313
88,0.379788,0.204188,3.7688
89,0.427989,0.153189,3.5629
90,0.507390,0.178690,3.5629
91,0.422291,0.153191,3.8163
92,0.393992,0.178692,3.3650
93,1.266793,0.178693,3.8797
94,0.578194,0.153194,3.4917
95,0.872895,0.178695,3.7451
96,0.495996,0.331696,3.8163
97,1.513397,0.204197,3.2621
98,0.631998,0.204198,3.3967
99,0.952299,0.204199,3.5471
100,0.6064100,0.1786100,3.2937
