Epoch,TrainError,ValidError,TestError
1,54.48591,31.81121,35.2969
2,91.62892,95.68882,94.7585
3,91.95763,69.41333,71.3935
4,60.26694,38.13784,42.7237
5,94.08305,94.71945,94.0697
6,94.36926,94.71946,94.0618
7,94.38057,94.71947,94.0618
8,94.21908,94.71948,94.0618
9,94.46279,94.71949,94.0618
10,94.414510,94.668410,94.0618
11,94.374911,94.617311,94.0618
12,94.244512,94.693912,94.0618
13,94.442913,94.719413,94.0618
14,94.417414,94.719414,94.0618
15,94.374915,94.719415,94.0618
16,94.346516,94.719416,94.0618
17,94.360717,94.719417,94.0618
18,94.400418,94.719418,94.0618
19,94.383419,94.719419,94.0618
20,94.352220,94.693920,94.0459
21,94.357921,94.719421,94.0618
22,94.386222,94.719422,94.0618
23,94.323823,94.719423,94.0618
24,94.355024,94.719424,94.0618
25,94.366425,94.719425,94.0618
26,94.374926,94.719426,94.0618
27,94.372027,94.719427,94.0618
28,94.369228,94.719428,94.0618
29,94.238829,94.362229,93.9509
30,94.049030,94.413330,93.9984
31,94.343731,94.668431,94.0618
32,93.986632,94.668432,94.0618
33,94.151033,94.285733,93.8797
34,93.947034,94.260234,93.9034
35,94.032035,94.387835,93.9588
36,93.927136,93.954136,93.7371
37,93.856337,94.209237,93.8638
38,93.589938,93.622438,93.2462
39,93.337739,94.668439,94.0618
40,94.224740,94.081640,93.8876
41,93.615441,93.750041,93.5629
42,93.181842,94.515342,94.0538
43,93.346243,92.551043,92.7474
44,94.015044,93.469444,93.1987
45,92.651945,89.795945,88.5273
46,93.578646,94.693946,94.0697
47,94.281347,94.617347,94.0618
48,93.964048,93.852048,93.4125
49,92.184349,94.132749,93.7767
50,90.333850,82.908250,81.7656
