Epoch,TrainError,ValidError,TestError
1,81.75871,59.10711,61.0847
2,53.39492,29.46432,35.8987
3,26.04283,7.42353,12.1853
4,11.92764,3.06124,8.0206
5,6.87205,1.91335,6.1045
6,4.86576,1.25006,5.3048
7,3.67557,1.07147,4.9327
8,3.14278,0.89298,4.5051
9,2.41169,0.71439,4.2043
10,1.992210,0.637810,3.8163
11,1.816511,0.586711,3.8480
12,1.524612,0.586712,3.7609
13,1.360213,0.586713,3.4917
14,1.176014,0.535714,3.8955
15,1.150515,0.459215,3.5788
16,1.062716,0.484716,3.3650
17,0.946517,0.433717,3.4363
18,0.827518,0.433718,3.1354
19,0.776519,0.331619,3.4679
20,0.762320,0.357120,3.2779
21,0.722621,0.331621,3.0958
22,0.705622,0.382722,3.1829
23,0.612123,0.306123,3.1829
24,0.646124,0.459224,3.1037
25,0.569625,0.229625,2.8108
26,0.566826,0.331626,3.1829
27,0.544127,0.229627,2.9850
28,0.495928,0.306128,2.9850
29,0.413729,0.306129,2.9454
30,0.470430,0.280630,2.8583
31,0.391131,0.280631,3.1196
32,0.365632,0.229632,3.1512
33,0.354233,0.229633,2.9691
34,0.442134,0.204134,2.8899
35,0.362735,0.204135,3.2621
36,0.391136,0.255136,2.9454
37,0.263537,0.255137,2.8662
38,0.354238,0.229638,2.7949
39,0.345739,0.306139,2.6841
40,0.334440,0.280640,2.7633
41,0.317441,0.229641,2.8187
42,0.294742,0.178642,2.4941
43,0.238043,0.306143,2.7395
44,0.277744,0.178644,2.5495
45,0.266445,0.178645,2.7712
46,0.325946,0.204146,2.6287
47,0.232447,0.153147,2.6049
48,0.257948,0.127648,2.8504
49,0.263549,0.178649,2.8187
50,0.209750,0.153150,2.6603
