Epoch,TrainError,ValidError,TestError
1,68.02311,46.91331,51.8923
2,45.74642,27.98472,35.9224
3,28.47713,10.89293,19.8416
4,17.30054,5.84184,13.4996
5,10.77995,3.31635,9.9050
6,7.80156,2.32146,8.4323
7,5.68187,1.78577,7.2447
8,4.51718,1.27558,6.4291
9,3.55649,1.14809,6.5954
10,3.400610,1.122410,5.8670
11,2.706311,0.790811,5.3998
12,2.312412,0.816312,5.4949
13,2.017713,0.612213,5.1623
14,1.776814,0.433714,4.7031
15,1.564315,0.510215,4.7902
16,1.467916,0.612216,5.0198
17,1.402717,0.459217,4.9644
18,1.334718,0.382718,4.5289
19,1.249719,0.433719,4.5210
20,1.057020,0.306120,4.5368
21,1.099521,0.331621,4.2993
22,0.901222,0.459222,4.6714
23,0.836023,0.331623,4.5447
24,0.952224,0.331624,4.5447
25,0.802025,0.280625,4.4893
26,0.756626,0.382726,4.2359
27,0.617827,0.280627,4.5210
28,0.674528,0.280628,4.0380
29,0.668829,0.280629,4.4972
30,0.600830,0.357130,4.5527
31,0.572431,0.280631,4.3785
32,0.529932,0.331632,4.2439
33,0.512933,0.331633,4.1330
34,0.541334,0.255134,3.8638
35,0.495935,0.280635,4.0459
36,0.467636,0.331636,4.2597
37,0.476137,0.229637,3.9984
38,0.507338,0.255138,4.3310
39,0.493139,0.280639,3.8559
40,0.413740,0.280640,3.9826
41,0.408141,0.331641,4.0380
42,0.371242,0.306142,4.0222
43,0.385443,0.280643,3.8401
44,0.385444,0.204144,4.2043
45,0.379745,0.229645,3.9984
46,0.297646,0.229646,4.1172
47,0.331647,0.229647,4.0934
48,0.306148,0.229648,3.9034
49,0.320249,0.229649,3.9667
50,0.314650,0.229650,3.8401
